135, "S:t Johanneslogen Moria"
136, "S:t Johanneslogen Bifrost"
137, "Brödraföreningen Unitas"
138, "S:t Johanneslogen Arcturus"
139, "Brödraföreningen Urania"
140, "S:t Johanneslogen Vintergatan"
141, "Brödraföreningen Solatuni Andreas Bröder"
142, "Brödraföreningen Aquila"
143, "Övre Norrlands Provinsialloge"
144, "S:t Andreaslogen Västerbotten"
145, "S:t Johanneslogen Brödrakedjan"
146, "S:t Andreaslogen Jakob Ulfsson"
147, "S:t Johanneslogen Ultima Thule"
148, "S:t Johanneslogen Olaus Magnus"
149, "Brödraföreningen Arthur Edmund"
150, "Brödraföreningen Norrskenet"
151, "Brödraföreningen Midnattssolen"
155, "S:t Johanneslogen Elisabeth"
156, "S:t Andreaslogen Pilgrimen"
169, "Kapitelbrödraföreningen K C Barnekow"
174, "S:t Johanneslogen Helios"
178, "Kapitellogen Provinsiallogen i Finland"
179, "S:t Andreaslogen Henrik Tavast"
182, "Kapitellogen Stewardslogen i Finland"
185, "Stewardsloge Österbottens Stewardsloge"
190, "S:t Johanneslogen Tyrgils"
193, "S:t Johanneslogen Axel Gabriel Leijonhufvud"
194, "Brödraföreningen A.G. Leijonhufvud"
199, "S:t Johanneslogen Midnattssolen"
202, "S:t Johanneslogen Hammaren"
203, "S:t Andreaslogen Lejonet och Kronan"
204, "Brödraförening Den Gyllene Kronan"
211, "S:t Andreaslogen Frans Suell"
212, "Hans Henrik Boije"
